# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-07-20T00:00:00.0
# Date end (ISO 8601): 2020-07-21T00:00:00.0
# Latitude (positive North, ISO 19115): 48.7130
# Longitude (positive East, ISO 19115): 2.2080
# Altitude (m): 158.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2023-05-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-07-20T09:45:00.0/2020-07-20T10:00:00.0;260.9883;202.8400;177.7478;25.0922;224.5408;202.8400;177.7478;25.0922;224.5408;1.0000
2020-07-20T10:00:00.0/2020-07-20T10:15:00.0;267.5254;208.6583;183.3429;25.3154;225.9508;208.6583;183.3429;25.3154;225.9508;1.0000
2020-07-20T10:15:00.0/2020-07-20T10:30:00.0;273.2891;213.7985;188.2923;25.5063;227.1576;213.7985;188.2923;25.5063;227.1576;1.0000
2020-07-20T10:30:00.0/2020-07-20T10:45:00.0;278.2547;218.2359;192.5699;25.6659;228.1735;218.2359;192.5699;25.6659;228.1735;1.0000
2020-07-20T10:45:00.0/2020-07-20T11:00:00.0;282.4008;221.9489;196.1535;25.7954;229.0082;221.9489;196.1535;25.7954;229.0082;1.0000
2020-07-20T11:00:00.0/2020-07-20T11:15:00.0;285.7097;224.9197;199.0241;25.8955;229.6695;224.9197;199.0241;25.8955;229.6695;1.0000
2020-07-20T11:15:00.0/2020-07-20T11:30:00.0;288.1670;227.1339;201.1670;25.9669;230.1635;227.1339;201.1670;25.9669;230.1635;1.0000
2020-07-20T11:30:00.0/2020-07-20T11:45:00.0;289.7623;228.5810;202.5711;26.0099;230.4946;228.5810;202.5711;26.0099;230.4946;1.0000
2020-07-20T11:45:00.0/2020-07-20T12:00:00.0;290.4885;229.2538;203.2289;26.0249;230.6655;229.2538;203.2289;26.0249;230.6655;1.0000
2020-07-20T12:00:00.0/2020-07-20T12:15:00.0;290.3426;229.1300;203.0963;26.0337;230.6311;229.1300;203.0963;26.0337;230.6311;1.0000
2020-07-20T12:15:00.0/2020-07-20T12:30:00.0;289.3251;228.2099;202.1737;26.0363;230.3911;228.2099;202.1737;26.0363;230.3911;1.0000
2020-07-20T12:30:00.0/2020-07-20T12:45:00.0;287.4402;226.5170;200.5066;26.0104;229.9897;226.5170;200.5066;26.0104;229.9897;1.0000
2020-07-20T12:45:00.0/2020-07-20T13:00:00.0;284.6961;224.0593;198.1035;25.9558;229.4235;224.0593;198.1035;25.9558;229.4235;1.0000
2020-07-20T13:00:00.0/2020-07-20T13:15:00.0;281.1045;220.8483;194.9767;25.8716;228.6873;220.8483;194.9767;25.8716;228.6873;1.0000
2020-07-20T13:15:00.0/2020-07-20T13:30:00.0;276.6805;216.8994;191.1423;25.7571;227.7743;216.8994;191.1423;25.7571;227.7743;1.0000
2020-07-20T13:30:00.0/2020-07-20T13:45:00.0;271.4432;212.2312;186.6200;25.6112;226.6757;212.2312;186.6200;25.6112;226.6757;1.0000
2020-07-20T13:45:00.0/2020-07-20T14:00:00.0;265.4149;206.8661;181.4334;25.4327;225.3807;206.8661;181.4334;25.4327;225.3807;1.0000
2020-07-20T14:00:00.0/2020-07-20T14:15:00.0;258.6213;200.8298;175.6097;25.2201;223.8759;200.8298;175.6097;25.2201;223.8759;1.0000
2020-07-20T14:15:00.0/2020-07-20T14:30:00.0;251.0916;194.1516;169.1794;24.9721;222.1450;194.1516;169.1794;24.9721;222.1450;1.0000
2020-07-20T14:30:00.0/2020-07-20T14:45:00.0;242.8578;186.8638;162.1767;24.6871;220.1684;186.8638;162.1767;24.6871;220.1684;1.0000
2020-07-20T14:45:00.0/2020-07-20T15:00:00.0;233.9553;179.0021;154.6389;24.3632;217.9221;179.0021;154.6389;24.3632;217.9221;1.0000
2020-07-20T15:00:00.0/2020-07-20T15:15:00.0;224.4220;170.6094;146.6056;24.0037;215.3755;170.6094;146.6056;24.0037;215.3755;1.0000
2020-07-20T15:15:00.0/2020-07-20T15:30:00.0;214.2989;161.7267;138.1212;23.6055;212.4939;161.7267;138.1212;23.6055;212.4939;1.0000
2020-07-20T15:30:00.0/2020-07-20T15:45:00.0;203.6290;152.3943;129.2355;23.1589;209.2384;152.3943;129.2355;23.1589;209.2384;1.0000
2020-07-20T15:45:00.0/2020-07-20T16:00:00.0;192.4582;142.6598;120.0013;22.6585;205.5608;142.6598;120.0013;22.6585;205.5608;1.0000
2020-07-20T16:00:00.0/2020-07-20T16:15:00.0;180.8342;132.5735;110.4760;22.0975;201.4035;132.5735;110.4760;22.0975;201.4035;1.0000
2020-07-20T16:15:00.0/2020-07-20T16:30:00.0;168.8067;122.1891;100.7216;21.4676;196.6969;122.1891;100.7216;21.4676;196.6969;1.0000
2020-07-20T16:30:00.0/2020-07-20T16:45:00.0;156.4272;111.5642;90.8047;20.7595;191.3556;111.5642;90.8047;20.7595;191.3556;1.0000
2020-07-20T16:45:00.0/2020-07-20T17:00:00.0;143.7487;100.7607;80.7971;19.9636;185.2721;100.7607;80.7971;19.9636;185.2721;1.0000
2020-07-20T17:00:00.0/2020-07-20T17:15:00.0;130.8255;89.8455;70.7756;19.0699;178.3086;89.8455;70.7756;19.0699;178.3086;1.0000
2020-07-20T17:15:00.0/2020-07-20T17:30:00.0;117.7127;78.8918;60.8237;18.0681;170.2847;78.8918;60.8237;18.0681;170.2847;1.0000
2020-07-20T17:30:00.0/2020-07-20T17:45:00.0;104.4666;67.9800;51.0341;16.9459;160.9635;67.9800;51.0341;16.9459;160.9635;1.0000
2020-07-20T17:45:00.0/2020-07-20T18:00:00.0;91.1437;57.2002;41.5147;15.6855;150.0339;57.2002;41.5147;15.6855;150.0339;1.0000
2020-07-20T18:00:00.0/2020-07-20T18:15:00.0;77.8013;46.6635;32.4073;14.2562;137.1377;46.6635;32.4073;14.2562;137.1377;1.0000
